feature,importance
X_40,0.09597492540059938
X_46,0.06727234721900051
X_36,0.055862259088047594
X_11,0.05152024406555082
X_42,0.039548253111058175
X_34,0.03848465505245073
X_37,0.0377879235133372
X_28,0.03717973966228085
X_41,0.035041905315658727
X_08,0.03367847963581566
X_19,0.03314026592566836
X_07,0.028334579999141535
X_18,0.023786042503004638
X_33,0.02337382150180013
X_29,0.02111251869104523
X_30,0.021007279301113308
X_16,0.020635666655679927
X_26,0.020030826870786115
X_51,0.018076502815225177
X_48,0.017304660560510027
X_04,0.016183589036821006
X_14,0.015596543392195919
X_49,0.013858247799751706
X_05,0.012689671052828908
X_35,0.012514960606855788
X_22,0.011845055727458363
X_39,0.011703169024234834
X_09,0.011139449275766001
X_44,0.011093880230157605
X_38,0.010469227013362963
X_50,0.010132629199189103
X_52,0.009893562955286341
X_47,0.009877029515638073
X_02,0.00911381807313701
X_12,0.008933095342691745
X_27,0.008806787695970106
X_31,0.008646024656205205
X_21,0.0080870274081581
X_24,0.007682769052776725
X_15,0.007386625420906197
X_43,0.006956810663013599
X_13,0.006766875126563458
X_25,0.006642793611285056
X_20,0.0065909059384748996
X_32,0.00648176637056599
X_23,0.005806889658795103
X_03,0.005283629325986148
X_06,0.004276556001653303
X_45,0.0042681019047819315
X_17,0.0042656559810178435
X_10,0.004118251754724316
X_01,0.0037357042959724938
