feature,importance
X_40,0.09584097831098451
X_46,0.06862208250082139
X_36,0.05666901135133931
X_11,0.051817939495206605
X_42,0.041586528888622486
X_28,0.0399531414818916
X_34,0.03904060284446161
X_37,0.03857024090202514
X_08,0.03841309581989533
X_41,0.0356289506542237
X_19,0.03415452123645843
X_26,0.02699804031697014
X_33,0.026452295506931178
X_07,0.026275247555892903
X_18,0.024184011123530223
X_29,0.022441145325123785
X_16,0.021142519504155848
X_48,0.01776578715123758
X_14,0.017053588354369778
X_04,0.016997467823871525
X_51,0.016351026674070825
X_38,0.015119465274009513
X_49,0.015067722918210139
X_05,0.01435014781263828
X_22,0.013712666904210316
X_35,0.012127730781521583
X_09,0.011961005168531333
X_39,0.011465818719655184
X_44,0.01127094310423382
X_50,0.01065895949952455
X_52,0.010065809864898021
X_31,0.009396415777228065
X_12,0.009343629417964334
X_02,0.00912476217213482
X_21,0.009035767554775307
X_27,0.008930049404818584
X_24,0.008039096540366568
X_15,0.007882074616977775
X_43,0.007550285882952589
X_20,0.007444881599261798
X_13,0.006897129996502786
X_32,0.006642291000114851
X_23,0.0061474400604873995
X_06,0.006122539125667594
X_10,0.005978780842517101
X_03,0.005716402259375812
X_01,0.003989960879337998
